pyright, Python type checker
lua-language-server, Lua language server
typescript-language-server, TypeScript/JavaScript language server
marksman, Markdown language server
texlab, LaTeX language server
bash-language-server, Bash language server
clang, C/C++ language server (includes clangd)
rust-analyzer, Rust language server
zls, Zig language server
tinymist, Typst language server
stylua, Lua formatter
shfmt, Shell formatter

ltex-ls-plus-bin, LaTeX/Markdown spell checker (LTeX+)
cmake-language-server, CMake language server
vscode-langservers-extracted, HTML/CSS/JSON language servers from VSCode
prettierd, Prettier daemon for formatting

python-black, Python formatter
python-isort, Python import sorter

google-java-format, Java code formatter
bibtex-tidy, BibTeX file formatter
jdtls, Java Language Server
java-debug, Java debugging
vscode-java-test, Java testing
